"","title","artist","top.genre","bpm","nrgy","dnce","live","val","dur","acous","spch","pop","country"
"271","Se�orita","Shawn Mendes","canadian pop",117,55,76,8,75,191,4,3,89,"bolivia"
"272","No Me Conoce - Remix","Jhay Cortez","latin",92,79,81,9,58,309,14,7,88,"bolivia"
"273","0.95833333333333337","Maluma","latin",96,71,78,9,68,176,22,28,88,"bolivia"
"274","QUE PRETENDES","J Balvin","latin",93,79,64,36,94,222,3,25,88,"bolivia"
"275","DJ No Pare (feat. Zion, Dalex, Lenny Tav�rez) - Remix","Justin Quiles","latin",170,71,74,8,83,259,5,9,88,"bolivia"
"276","Con Altura","ROSAL�A","r&b en espanol",98,69,88,5,75,162,39,12,88,"bolivia"
"277","Otro Trago - Remix","Sech","panamanian pop",176,79,73,6,76,288,7,20,88,"bolivia"
"278","Pa' Olvidarme De Ella","Piso 21","colombian pop",90,54,73,14,64,227,26,5,87,"bolivia"
"279","Bellaquita - Remix","Dalex","latin",166,72,80,18,76,305,14,8,87,"bolivia"
"280","Qu� Pena","Maluma","latin",126,66,64,34,86,213,10,36,87,"bolivia"
"281","Blanco","J Balvin","latin",100,71,87,9,59,146,3,13,87,"bolivia"
"282","Pa M� - Remix","Dalex","latin",170,62,69,16,73,361,75,22,86,"bolivia"
"283","Otro Trago","Sech","panamanian pop",176,70,75,11,62,226,14,34,86,"bolivia"
"284","Te Vi","Piso 21","colombian pop",102,78,88,9,71,232,4,12,85,"bolivia"
"285","Feliz Navidad","Jos� Feliciano","latin pop",149,86,49,35,96,182,53,4,85,"bolivia"
"286","Last Christmas","Wham!","new wave pop",108,48,74,36,95,263,19,3,85,"bolivia"
"287","Que Mas Pues - Remix","Sech","panamanian pop",113,66,65,12,81,306,12,20,85,"bolivia"
"288","Bellaquita","Dalex","latin",166,70,58,17,77,205,9,11,85,"bolivia"
"289","Sigues Con El","Dimelo Flow","latin",88,67,88,7,68,227,11,11,83,"bolivia"
"290","Atr�vete","Nicky Jam","latin",184,68,55,12,59,198,31,30,83,"bolivia"
"291","Loco","Be�le",NA,105,56,82,5,77,204,16,17,82,"bolivia"
"292","Amor a Primera Vista","Los Angeles Azules","grupera",170,76,66,41,95,221,32,6,81,"bolivia"
"293","Una Vida Para Recordar","Piso 21","colombian pop",182,78,70,12,48,215,7,20,81,"bolivia"
"294","Soltera - Remix","Lunay","latin",92,78,80,44,80,266,36,4,80,"bolivia"
"295","Tal Vez","Paulo Londra","argentine hip hop",162,65,86,8,74,264,25,15,80,"bolivia"
"296","Desconocidos","Mau y Ricky","latin",174,75,72,21,68,205,12,18,79,"bolivia"
"297","Nunca Es Suficiente","Los Angeles Azules","grupera",94,50,80,9,80,266,39,4,78,"bolivia"
"298","Detente","Mike Bah�a","colombian pop",172,59,74,11,36,182,27,35,77,"bolivia"
"299","Adan y Eva","Paulo Londra","argentine hip hop",172,71,77,7,72,257,32,34,76,"bolivia"
"300","La Dif�cil","Camilo","colombian pop",65,36,68,16,55,159,67,11,71,"bolivia"
"301","Dance Monkey","Tones and I","australian pop",98,59,82,15,51,209,69,9,100,"brazil"
"302","Combatchy (feat. MC Rebecca)","Anitta","baile pop",150,73,83,2,61,158,38,8,86,"brazil"
"303","Surtada - Remix Brega Funk","Dad� Bolad�o","brega funk",154,55,83,18,88,153,25,6,86,"brazil"
"304","Supera - Ao Vivo","Mar�lia Mendon�a","sertanejo",132,74,67,96,66,148,6,6,85,"brazil"
"305","Cheirosa - Ao Vivo","Jorge & Mateus","sertanejo",152,87,53,33,71,182,24,9,85,"brazil"
"306","Liberdade Provis�ria","Henrique & Juliano","sertanejo universitario",108,68,67,92,70,188,63,5,84,"brazil"
"307","Some que ele vem atr�s","Anitta","baile pop",180,80,65,38,60,195,7,17,84,"brazil"
"308","Hit Contagiante","Felipe Original","brega funk",170,68,82,9,96,137,13,12,84,"brazil"
"309","Gaiola � o Troco","MC Du Black","funk carioca",150,84,72,11,85,187,42,8,84,"brazil"
"310","SENTAD�O","Pedro Sampaio","baile pop",174,87,68,22,92,143,18,6,83,"brazil"
"311","Tijol�o - Ao Vivo","Jorge & Mateus","sertanejo",119,88,64,34,69,175,47,20,83,"brazil"
"312","Ferida Curada","Z� Neto & Cristiano","sertanejo universitario",146,85,49,21,55,159,49,10,83,"brazil"
"313","Chama Ela (feat. Pedro Sampaio)","Lexa","baile pop",150,84,89,6,96,120,46,15,83,"brazil"
"314","3 Batidas - Ao Vivo","Guilherme & Benuto","sertanejo pop",118,71,55,76,53,157,61,13,82,"brazil"
"315","Quarta Cadeira - Ao Vivo","Matheus & Kauan","pop nacional",76,82,56,62,60,224,59,24,82,"brazil"
"316","Contatinho - Ao Vivo Em S�o Paulo / 2019","Leo Santana","axe",152,93,79,95,81,173,22,8,82,"brazil"
"317","Invocada (Participa��o especial de L�o Santana) - Ao vivo","Ludmilla","baile pop",135,86,78,93,70,157,48,5,82,"brazil"
"318","Sentou e Gostou","MC JottaP�","funk carioca",131,67,70,9,72,163,26,40,82,"brazil"
"319","Quando a vontade bater (Participa��o especial de PK Delas)","Pk","brazilian edm",150,70,62,15,70,166,54,25,82,"brazil"
"320","menina solta","Giulia Be","pop nacional",92,56,63,16,67,150,33,8,82,"brazil"
"321","Len�ol Dobrado","Jo�o Gustavo e Murilo","funk carioca",125,66,71,33,67,179,36,4,81,"brazil"
"322","Bebi Liguei - Ao Vivo","Mar�lia Mendon�a","sertanejo",154,80,60,74,68,160,36,20,81,"brazil"
"323","S de Saudade","Lu�za & Maur�lio","sertanejo pop",124,71,71,13,79,175,62,5,81,"brazil"
"324","Serenata - Ao Vivo","Mar�lia Mendon�a","sertanejo",132,71,71,97,74,156,10,9,81,"brazil"
"325","Todo Mundo Vai Sofrer - Ao Vivo","Mar�lia Mendon�a","sertanejo",111,74,62,41,58,155,28,7,81,"brazil"
"326","Verdinha","Ludmilla","baile pop",138,95,85,12,63,160,35,12,81,"brazil"
"327","choque t�rmico - ao vivo","Luan Santana","funk carioca",127,76,74,83,73,180,34,4,81,"brazil"
"328","Ela Vem","MC G15","brega funk",185,63,62,7,59,197,62,55,81,"brazil"
"329","A Culpa � do Meu Grau (feat. Z� Neto & Cristiano) - Ao Vivo em Bras�lia","Diego & Victor Hugo","sertanejo pop",119,88,54,93,63,183,72,10,80,"brazil"
"330","Para, Pensa e Volta - Ao Vivo","Yasmin Santos","sertanejo pop",112,79,61,24,57,174,25,4,80,"brazil"
"331","Algo Mais (Amante) - Ao Vivo","Xand Avi�o","funk carioca",140,84,70,75,67,232,28,6,80,"brazil"
"332","Espa�osa Demais - Ao Vivo","Felipe Ara�jo","funk carioca",160,89,68,23,71,179,38,8,80,"brazil"
"333","Vou Ter Que Superar - Ao Vivo","Matheus & Kauan","pop nacional",106,72,51,87,42,189,77,6,80,"brazil"
"334","To Voando Alto","Mc Poze do Rodo","funk carioca",145,68,89,8,80,137,31,17,80,"brazil"
"335","A� Eu Bebo - Ao Vivo","Maiara & Maraisa","sertanejo universitario",136,68,83,41,85,174,48,7,79,"brazil"
"336","Com ou Sem Mim (Ao Vivo em Fortaleza)","Gustavo Mioto","sertanejo",142,72,61,96,30,202,16,5,79,"brazil"
"337","Se Prepara 2","Mc Livinho","funk carioca",130,45,65,11,36,147,11,52,79,"brazil"
"338","A Gente Fez Amor - Ao Vivo","Gusttavo Lima","sertanejo universitario",134,94,79,96,83,238,37,3,78,"brazil"
"339","Rel�gio Parado (Ao Vivo)","Diego & Arnaldo","sertanejo",125,94,74,97,73,181,5,5,78,"brazil"
"340","Solteiro N�o Trai - Ao Vivo","Gustavo Mioto","sertanejo",158,83,49,96,60,187,48,20,78,"brazil"
"341","Fingindo Maturidade - Ao Vivo","Mano Walter","forro",166,92,58,94,74,189,29,10,77,"brazil"
"342","�udio - Ao Vivo em Bras�lia","Diego & Victor Hugo","sertanejo pop",110,81,61,42,45,190,52,4,77,"brazil"
"343","Dois Lados","Wesley Safad�o","forro",160,85,66,10,93,147,42,5,77,"brazil"
"344","Mil Anos - Recorded At Mosh Studios, S�o Paulo","Jorge & Mateus","sertanejo",135,70,62,8,45,189,29,7,74,"brazil"
"345","quando a bad bater - ao vivo","Luan Santana","funk carioca",128,79,65,53,53,180,30,4,71,"brazil"
"346","Fake News - Ao Vivo","Gustavo Mioto","sertanejo",114,64,80,97,73,175,47,5,70,"brazil"
"347","Bebi Minha Bicicleta (Cora��o Falido) - Ao Vivo","Z� Neto & Cristiano","sertanejo universitario",196,90,39,91,47,182,45,41,68,"brazil"
"348","Carreira Solo - Ao Vivo","Gusttavo Lima","sertanejo universitario",127,93,81,87,92,216,41,4,67,"brazil"
"349","Quem Traiu Levou - Ao Vivo","Gusttavo Lima","sertanejo universitario",174,96,59,32,83,154,32,8,66,"brazil"
"350","Tiro Certo - Ao Vivo","Z� Felipe","funk carioca",130,91,71,71,69,179,56,7,65,"brazil"
"351","Dance Monkey","Tones and I","australian pop",98,59,82,15,51,209,69,9,100,"canada"
"352","ROXANNE","Arizona Zervas","pop rap",117,60,62,46,46,164,5,15,99,"canada"
"353","All I Want for Christmas Is You","Mariah Carey","dance pop",150,63,34,7,35,241,16,4,98,"canada"
"354","Santa Tell Me","Ariana Grande","dance pop",192,62,53,29,59,204,5,12,95,"canada"
"355","Rockin' Around The Christmas Tree","Brenda Lee","adult standards",67,47,59,51,90,126,61,5,93,"canada"
"356","It's the Most Wonderful Time of the Year","Andy Williams","adult standards",202,60,24,12,78,152,77,4,92,"canada"
"357","Jingle Bell Rock","Bobby Helms","adult standards",120,42,75,7,81,131,64,4,92,"canada"
"358","Happy Xmas (War Is Over) - Remastered","John Lennon","album rock",147,61,33,77,40,214,32,3,92,"canada"
"359","Mistletoe","Justin Bieber","canadian pop",162,56,66,8,85,183,50,5,92,"canada"
"360","Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra","adult standards",142,26,65,36,84,155,90,6,91,"canada"
"361","Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney","album rock",95,51,77,7,77,228,32,3,91,"canada"
"362","The Christmas Song (Merry Christmas To You)","Nat King Cole","adult standards",79,21,32,14,21,192,92,3,89,"canada"
"363","White Christmas","Bing Crosby","adult standards",131,16,32,34,25,177,67,4,89,"canada"
"364","Let It Snow! Let It Snow! Let It Snow!","Dean Martin","adult standards",134,24,45,18,70,117,91,4,89,"canada"
"365","Have Yourself A Merry Little Christmas","Sam Smith","pop",75,18,44,32,34,171,96,4,89,"canada"
"366","The Box","Roddy Ricch","melodic rap",117,59,90,79,64,197,10,6,89,"canada"
"367","Underneath the Tree","Kelly Clarkson","dance pop",160,81,51,21,69,230,0,5,88,"canada"
"368","Jingle Bell Rock - Daryl's Version","Daryl Hall & John Oates","album rock",129,84,67,11,84,126,61,3,88,"canada"
"369","It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como","adult standards",113,28,73,12,72,156,76,6,88,"canada"
"370","Christmas (Baby Please Come Home)","Mariah Carey","dance pop",127,78,57,11,70,153,2,3,88,"canada"
"371","Do They Know It's Christmas? - 1984 Version","Band Aid",NA,115,64,60,10,35,223,16,4,87,"canada"
"372","Blue Christmas","Elvis Presley","adult standards",95,27,47,14,58,129,90,4,87,"canada"
"373","Run Rudolph Run - Single Version","Chuck Berry","blues rock",152,72,68,8,96,166,81,9,87,"canada"
"374","Santa Baby","Ariana Grande","dance pop",96,78,75,28,77,171,5,14,87,"canada"
"375","Like It's Christmas","Jonas Brothers","boy band",146,57,73,5,61,201,2,10,87,"canada"
"376","Step Into Christmas","Elton John","glam rock",140,93,53,31,82,272,10,4,87,"canada"
"377","Christmas Lights","Coldplay","permanent wave",131,42,31,8,24,242,13,3,87,"canada"
"378","Fairytale of New York (feat. Kirsty MacColl)","The Pogues","celtic punk",119,65,32,24,47,272,50,3,86,"canada"
"379","Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975","Bruce Springsteen","heartland rock",140,67,36,73,41,268,36,5,86,"canada"
"380","Last Christmas","Wham!","new wave pop",108,48,74,36,95,263,19,3,85,"canada"
"381","Feliz Navidad","Jos� Feliciano","latin pop",149,86,49,35,96,182,53,4,85,"canada"
"382","Santa Claus Is Coming To Town","The Jackson 5","adult standards",147,76,69,18,96,144,42,3,85,"canada"
"383","Winter Wonderland","Tony Bennett","adult standards",115,37,45,8,63,134,83,4,85,"canada"
"384","Baby, It's Cold Outside","Brett Eldredge","contemporary country",114,57,58,27,68,174,74,4,85,"canada"
"385","It's Beginning to Look a Lot like Christmas","Michael Bubl�","adult standards",93,22,33,34,36,207,88,3,84,"canada"
"386","I Saw Mommy Kissing Santa Claus","The Jackson 5","adult standards",129,71,58,82,61,181,26,5,84,"canada"
"387","Joy To The World","Nat King Cole","adult standards",102,34,55,11,66,85,82,3,84,"canada"
"388","Do You Hear What I Hear? - Remastered 2006","Bing Crosby","adult standards",102,25,57,20,41,166,81,3,84,"canada"
"389","A Holly Jolly Christmas - Single Version","Burl Ives","adult standards",140,37,67,10,86,133,59,3,83,"canada"
"390","Driving Home for Christmas - 2019 Remaster","Chris Rea","album rock",180,58,51,18,87,242,36,4,83,"canada"
"391","Holly Jolly Christmas","Michael Bubl�","adult standards",151,43,61,9,74,122,86,4,82,"canada"
"392","Christmas (Baby Please Come Home)","Darlene Love","adult standards",126,76,34,8,36,166,39,5,82,"canada"
"393","Mistletoe And Holly - Remastered 1999","Frank Sinatra","adult standards",110,10,61,8,34,136,80,4,81,"canada"
"394","What Christmas Means To Me","Stevie Wonder","adult standards",167,54,48,8,82,147,24,4,80,"canada"
"395","Baby, It's Cold Outside","Dean Martin","adult standards",130,20,47,5,54,144,88,6,79,"canada"
"396","I'll Be Home for Christmas","Michael Bubl�","adult standards",82,11,25,16,15,268,94,3,78,"canada"
"397","Sleigh Ride","The Ronettes","adult standards",92,77,53,32,85,181,40,3,77,"canada"
"398","Santa Claus Is Coming to Town","Michael Bubl�","adult standards",123,40,59,4,42,172,79,5,75,"canada"
"399","Jingle Bells (feat. The Puppini Sisters)","Michael Bubl�","adult standards",123,58,71,14,83,162,70,6,75,"canada"
"400","Merry Christmas Everyone","Shakin' Stevens","new wave pop",102,71,76,8,96,224,16,3,69,"canada"
"401","Dance Monkey","Tones and I","australian pop",98,59,82,15,51,209,69,9,100,"germany"
"402","ROXANNE","Arizona Zervas","pop rap",117,60,62,46,46,164,5,15,99,"germany"
"403","All I Want for Christmas Is You","Mariah Carey","dance pop",150,63,34,7,35,241,16,4,98,"germany"
"404","Falling","Trevor Daniel","alternative r&b",127,43,78,9,24,159,12,4,97,"germany"
"405","Blinding Lights","The Weeknd","canadian contemporary r&b",171,80,51,9,35,202,0,6,96,"germany"
"406","Santa Tell Me","Ariana Grande","dance pop",192,62,53,29,59,204,5,12,95,"germany"
"407","Ride It","Regard","pop edm",118,75,88,11,88,158,18,9,95,"germany"
"408","Happy Xmas (War Is Over) - Remastered","John Lennon","album rock",147,61,33,77,40,214,32,3,92,"germany"
"409","Mistletoe","Justin Bieber","canadian pop",162,56,66,8,85,183,50,5,92,"germany"
"410","Jingle Bell Rock","Bobby Helms","adult standards",120,42,75,7,81,131,64,4,92,"germany"
"411","It's the Most Wonderful Time of the Year","Andy Williams","adult standards",202,60,24,12,78,152,77,4,92,"germany"
"412","Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney","album rock",95,51,77,7,77,228,32,3,91,"germany"
"413","Ayy Macarena","Tyga","pop rap",96,63,82,7,72,132,13,23,90,"germany"
"414","Have Yourself A Merry Little Christmas","Sam Smith","pop",75,18,44,32,34,171,96,4,89,"germany"
"415","Underneath the Tree","Kelly Clarkson","dance pop",160,81,51,21,69,230,0,5,88,"germany"
"416","Jingle Bell Rock - Daryl's Version","Daryl Hall & John Oates","album rock",129,84,67,11,84,126,61,3,88,"germany"
"417","Do They Know It's Christmas? - 1984 Version","Band Aid",NA,115,64,60,10,35,223,16,4,87,"germany"
"418","Christmas Lights","Coldplay","permanent wave",131,42,31,8,24,242,13,3,87,"germany"
"419","Step Into Christmas","Elton John","glam rock",140,93,53,31,82,272,10,4,87,"germany"
"420","Last Christmas","Wham!","new wave pop",108,48,74,36,95,263,19,3,85,"germany"
"421","Feliz Navidad","Jos� Feliciano","latin pop",149,86,49,35,96,182,53,4,85,"germany"
"422","It's Beginning to Look a Lot like Christmas","Michael Bubl�","adult standards",93,22,33,34,36,207,88,3,84,"germany"
"423","My Only Wish (This Year)","Britney Spears","dance pop",147,73,67,20,68,255,23,3,84,"germany"
"424","Rudolph The Red-Nosed Reindeer","Dean Martin","adult standards",136,20,48,9,86,136,92,3,84,"germany"
"425","Driving Home for Christmas - 2019 Remaster","Chris Rea","album rock",180,58,51,18,87,242,36,4,83,"germany"
"426","COLT","Samra","german hip hop",90,53,54,10,18,180,35,43,83,"germany"
"427","Der Bratan bleibt der gleiche","Capital Bra","german hip hop",96,70,61,57,67,192,13,37,83,"germany"
"428","Roller","Apache 207","german hip hop",128,76,94,19,68,157,3,17,82,"germany"
"429","Hallelujah","Pentatonix","a cappella",119,38,32,34,37,269,45,4,82,"germany"
"430","2002","Sido","german hip hop",160,69,66,10,49,237,21,24,82,"germany"
"431","Doch in der Nacht","Apache 207","german hip hop",131,83,90,21,71,192,12,7,81,"germany"
"432","Thank God It's Christmas - Non-Album Single","Queen","glam rock",83,42,30,23,34,262,21,3,80,"germany"
"433","Alien","RIN","german cloud rap",138,60,84,11,85,209,30,6,80,"germany"
"434","Wonderful Dream (Holidays Are Coming) - Radio Version","Melanie Thornton",NA,150,68,58,26,52,232,11,3,79,"germany"
"435","200 km/h","Apache 207","german hip hop",148,67,90,11,41,163,27,16,79,"germany"
"436","Wieso tust Du dir das an?","Apache 207","german hip hop",134,48,86,12,46,176,29,6,79,"germany"
"437","Merry Xmas Everybody","Slade","album rock",130,80,41,18,47,223,22,4,79,"germany"
"438","110","Capital Bra","german hip hop",179,75,48,10,42,195,53,43,76,"germany"
"439","Nur zur Info","Ufo361","german cloud rap",89,37,73,11,23,142,17,44,75,"germany"
"440","Mit Dir","Loredana","kosovan pop",196,53,75,6,64,158,16,34,75,"germany"
"441","Christmas Time","Bryan Adams","album rock",77,58,50,10,32,243,47,3,72,"germany"
"442","Keine Liebe","RIN","german cloud rap",104,80,80,31,57,198,13,4,72,"germany"
"443","The Best Side Of Life","Sarah Connor","german pop",91,63,63,12,55,229,56,3,72,"germany"
"444","In der Weihnachtsb�ckerei","Rolf Zuckowski","german pop",146,45,82,20,92,173,49,4,72,"germany"
"445","STAR","Nimo","german hip hop",108,82,81,17,60,162,38,9,71,"germany"
"446","Merry Christmas Everyone","Shakin' Stevens","new wave pop",102,71,76,8,96,224,16,3,69,"germany"
"447","Vor der T�r","Gzuz","deep german hip hop",101,73,86,10,20,171,2,19,63,"germany"
"448","KEIN SCHLAF","Nimo","german hip hop",174,70,61,12,43,200,31,17,61,"germany"
"449","KARMA","Nimo","german hip hop",160,64,69,33,53,255,14,8,59,"germany"
"450","Skifahren","The Cratez","german hip hop",134,71,72,15,44,163,22,25,51,"germany"
"451","Dance Monkey","Tones and I","australian pop",98,59,82,15,51,209,69,9,100,"colombia"
"452","RITMO (Bad Boys For Life)","The Black Eyed Peas","dance pop",105,72,72,24,67,222,3,7,97,"colombia"
"453","Tusa","KAROL G","latin",101,72,80,6,57,201,30,30,96,"colombia"
"454","China","Anuel AA","latin",105,81,79,8,61,302,8,9,94,"colombia"
"455","Vete","Bad Bunny","latin",92,67,89,10,53,192,4,19,94,"colombia"
"456","Fantasias","Rauw Alejandro","latin",94,70,88,6,79,200,14,7,93,"colombia"
"457","LA CANCI�N","J Balvin","latin",176,65,75,11,43,243,15,32,93,"colombia"
"458","Callaita","Bad Bunny","latin",176,62,61,24,24,251,60,31,92,"colombia"
"459","Adicto (with Anuel AA & Ozuna)","Tainy","pop reggaeton",80,84,73,18,62,271,2,7,92,"colombia"
"460","Whine Up","Nicky Jam","latin",105,67,82,10,66,215,5,8,91,"colombia"
"461","Que Tire Pa Lante","Daddy Yankee","latin",94,90,66,12,71,211,5,4,91,"colombia"
"462","Quizas","Rich Music LTD","reggaeton",176,82,73,23,68,216,3,15,90,"colombia"
"463","Indeciso","Reik","latin",95,75,74,11,90,217,18,5,90,"colombia"
"464","Tutu","Camilo","colombian pop",146,83,73,7,94,179,27,5,90,"colombia"
"465","Si Te Vas","Sech","panamanian pop",174,64,73,14,55,205,9,13,90,"colombia"
"466","Aventura","Lunay","latin",92,73,73,10,88,217,22,4,90,"colombia"
"467","Hola - Remix","Dalex","latin",182,67,65,8,34,250,47,31,89,"colombia"
"468","Se�orita","Shawn Mendes","canadian pop",117,55,76,8,75,191,4,3,89,"colombia"
"469","No Me Conoce - Remix","Jhay Cortez","latin",92,79,81,9,58,309,14,7,88,"colombia"
"470","QUE PRETENDES","J Balvin","latin",93,79,64,36,94,222,3,25,88,"colombia"
"471","Con Altura","ROSAL�A","r&b en espanol",98,69,88,5,75,162,39,12,88,"colombia"
"472","0.95833333333333337","Maluma","latin",96,71,78,9,68,176,22,28,88,"colombia"
"473","Blanco","J Balvin","latin",100,71,87,9,59,146,3,13,87,"colombia"
"474","Qu� Pena","Maluma","latin",126,66,64,34,86,213,10,36,87,"colombia"
"475","Pa' Olvidarme De Ella","Piso 21","colombian pop",90,54,73,14,64,227,26,5,87,"colombia"
"476","Bellaquita - Remix","Dalex","latin",166,72,80,18,76,305,14,8,87,"colombia"
"477","Sigues Con El","Dimelo Flow","latin",88,67,88,7,68,227,11,11,83,"colombia"
"478","Loco","Be�le",NA,105,56,82,5,77,204,16,17,82,"colombia"
"479","Soltera - Remix","Lunay","latin",92,78,80,44,80,266,36,4,80,"colombia"
"480","Alguien Me Gusta","Andy Rivera","latin",93,52,67,37,81,169,45,4,70,"colombia"
"481","Dulce Pecado","Jessi Uribe","colombian pop",176,51,64,13,77,175,61,5,63,"colombia"
"482","En Barranquilla Me Quedo","Joe Arroyo","cumbia",104,79,62,9,75,312,18,5,63,"colombia"
"483","Los sabanales","Calixto Ochoa","cumbia",124,70,80,3,78,162,10,4,58,"colombia"
"484","Traicionera","Pastor Lopez","cumbia",130,59,78,19,96,215,53,4,55,"colombia"
"485","La Noche","Joe Arroyo","cumbia",106,68,73,6,83,264,25,4,55,"colombia"
"486","Adonay","Rodolfo Aicardi","classic colombian pop",118,66,76,6,97,187,67,5,54,"colombia"
"487","El Hijo Ausente","Pastor Lopez","cumbia",107,73,76,13,85,173,63,6,54,"colombia"
"488","Tabaco y Ron","Rodolfo Aicardi","classic colombian pop",103,77,76,11,96,243,18,4,54,"colombia"
"489","Aventurero","Yeison Jimenez","colombian pop",93,63,85,13,90,190,51,3,54,"colombia"
"490","Loquito por Ti","Armando Hernandez","chicha",107,76,79,5,86,287,41,12,54,"colombia"
"491","Las Cuatro Fiestas","Diomedes Diaz","cumbia",131,92,51,15,97,275,16,26,54,"colombia"
"492","Cari�ito","Rodolfo Aicardi","classic colombian pop",106,57,68,8,95,227,82,3,53,"colombia"
"493","Golpe Con Golpe","Pastor Lopez","cumbia",102,62,75,6,97,214,60,6,53,"colombia"
"494","Ojitos Hechiceros","Rodolfo Aicardi","classic colombian pop",107,69,79,14,62,220,11,4,52,"colombia"
"495","La Burrita","Los Corraleros De Majagual","cumbia",127,63,86,8,95,157,46,10,51,"colombia"
"496","Daniela","Rodolfo Aicardi","classic colombian pop",142,56,62,18,93,198,52,3,51,"colombia"
"497","V�spera de A�o Nuevo","Guillermo Buitrago","classic colombian pop",100,83,60,8,98,150,85,13,49,"colombia"
"498","El Jornalero (El Hijo de Tuta)","Lisandro Meza","cumbia",95,72,85,16,96,244,7,6,49,"colombia"
"499","Las Cale�as","Pastor Lopez Y Su Combo","cumbia",204,74,55,8,94,212,34,10,48,"colombia"
"500","Sorbito De Champagne - Digitally Remastered Original","Pastor Lopez","cumbia",112,79,79,4,70,211,64,4,45,"colombia"
"501","Dance Monkey","Tones and I","australian pop",98,59,82,15,51,209,69,9,100,"chile"
"502","All I Want for Christmas Is You","Mariah Carey","dance pop",150,63,34,7,35,241,16,4,98,"chile"
"503","RITMO (Bad Boys For Life)","The Black Eyed Peas","dance pop",105,72,72,24,67,222,3,7,97,"chile"
"504","Tusa","KAROL G","latin",101,72,80,6,57,201,30,30,96,"chile"
"505","Vete","Bad Bunny","latin",92,67,89,10,53,192,4,19,94,"chile"
"506","China","Anuel AA","latin",105,81,79,8,61,302,8,9,94,"chile"
"507","Fantasias","Rauw Alejandro","latin",94,70,88,6,79,200,14,7,93,"chile"
"508","LA CANCI�N","J Balvin","latin",176,65,75,11,43,243,15,32,93,"chile"
"509","Adicto (with Anuel AA & Ozuna)","Tainy","pop reggaeton",80,84,73,18,62,271,2,7,92,"chile"
"510","Callaita","Bad Bunny","latin",176,62,61,24,24,251,60,31,92,"chile"
"511","Jingle Bell Rock","Bobby Helms","adult standards",120,42,75,7,81,131,64,4,92,"chile"
"512","Whine Up","Nicky Jam","latin",105,67,82,10,66,215,5,8,91,"chile"
"513","Que Tire Pa Lante","Daddy Yankee","latin",94,90,66,12,71,211,5,4,91,"chile"
"514","Aventura","Lunay","latin",92,73,73,10,88,217,22,4,90,"chile"
"515","Quizas","Rich Music LTD","reggaeton",176,82,73,23,68,216,3,15,90,"chile"
"516","Si Te Vas","Sech","panamanian pop",174,64,73,14,55,205,9,13,90,"chile"
"517","Tutu","Camilo","colombian pop",146,83,73,7,94,179,27,5,90,"chile"
"518","Yo x Ti, Tu x Mi","ROSAL�A","r&b en espanol",92,76,78,14,58,201,46,23,90,"chile"
"519","Hola - Remix","Dalex","latin",182,67,65,8,34,250,47,31,89,"chile"
"520","No Me Conoce - Remix","Jhay Cortez","latin",92,79,81,9,58,309,14,7,88,"chile"
"521","DJ No Pare (feat. Zion, Dalex, Lenny Tav�rez) - Remix","Justin Quiles","latin",170,71,74,8,83,259,5,9,88,"chile"
"522","Otro Trago - Remix","Sech","panamanian pop",176,79,73,6,76,288,7,20,88,"chile"
"523","QUE PRETENDES","J Balvin","latin",93,79,64,36,94,222,3,25,88,"chile"
"524","Bellaquita - Remix","Dalex","latin",166,72,80,18,76,305,14,8,87,"chile"
"525","El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","Dimelo Flow","latin",88,65,75,11,48,233,11,7,85,"chile"
"526","Si Se Da - Remix","Myke Towers","latin",94,67,82,13,77,332,44,30,85,"chile"
"527","Cuerpo en Venta","Noriel","latin",92,60,70,10,41,254,16,30,85,"chile"
"528","Feliz Navidad","Jos� Feliciano","latin pop",149,86,49,35,96,182,53,4,85,"chile"
"529","Verte Ir","DJ Luian","latin",96,65,86,8,55,268,39,10,85,"chile"
"530","Fantas�a","Ozuna","latin",180,72,70,9,78,175,23,9,84,"chile"
"531","It's Beginning to Look a Lot like Christmas","Michael Bubl�","adult standards",93,22,33,34,36,207,88,3,84,"chile"
"532","Sigues Con El","Dimelo Flow","latin",88,67,88,7,68,227,11,11,83,"chile"
"533","105 F Remix","KEVVO","perreo",100,75,90,29,74,464,37,16,83,"chile"
"534","B11 (feat. Myke Towers)","Rvssian","latin",100,72,76,13,20,252,7,12,83,"chile"
"535","Perreo en La Luna","Rich Music LTD","reggaeton",174,76,71,37,72,219,27,29,83,"chile"
"536","Holly Jolly Christmas","Michael Bubl�","adult standards",151,43,61,9,74,122,86,4,82,"chile"
"537","Piensan","Myke Towers","latin",172,72,68,11,79,173,54,6,82,"chile"
"538","No Te Deb� Besar","C. Tangana","trap espanol",75,68,67,18,62,183,13,32,82,"chile"
"539","Si Supieras","Daddy Yankee","latin",184,89,69,10,62,242,29,12,82,"chile"
"540","Coronao Now","El Alfa","dembow",118,73,94,18,72,218,15,25,81,"chile"
